AIRSTRIPS,X,Y,A1,H1,MAX TANKERS,MAX HELIS,,,,,,
1,-72.7701555787,-38.9509415897,0,0,10,10,,,,,,
2,-72.3483928028,-38.2424502694,1,1,10,10,,,,,,
3,-72.4919737484,-42.5967190942,0,0,10,10,,,,,,
4,-72.2966052605,-41.4856989626,1,1,10,10,,,,,,
5,-73.5208492827,-42.4460672244,0,0,10,10,,,,,,
6,-72.9525517416,-40.6291122304,0,0,10,10,,,,,,
7,-72.3502190411,-39.6530288375,0,0,10,10,,,,,,
8,-72.3409030983,-37.44534353,0,0,10,10,,,,,,
9,-72.2306276245,-36.5799901161,0,0,10,10,,,,,,
10,-71.6614275961,-34.9126729296,1,1,10,10,,,,,,
11,-71.5441497747,-35.8576840921,0,0,10,10,,,,,,
,,,,,,,,,,,,
BASES,X,Y,T1,CAPACITY,,,,,,,,
,,,,,,,,,,,,
RAW PATCHES,LOCATION X,LOCATION Y,LOCATION Z,VEGETATION,PRECIP_0,TEMP_0_MIN,TEMP_0_MAX,PRECIP_CAT,EXISTING_FIRES,FIRE_AGE,WIND_0_NS,WIND_0_EW
8,10,150,100,1,43.5,27.1008161617,27.7818181818,0,0,0,4.5043188726,14.8998039449
9,10,170,100,1,46.07,29.5864128531,30.7636363636,0,0,0,-24.1926246937,-3.0135343326
15,30,90,100,1,73.99,23.9139698498,25.2024647887,1,0,0,10.4340132937,-19.6464990709
16,30,110,100,1,45.46,25.7142585099,27,0,0,0,18.5886947567,-1.2516893305
17,30,130,100,1,43.55,27.7025665371,28.7545454545,0,0,0,6.2624497614,7.8229434381
18,30,150,100,1,43.75,28.127700171,28.4727272727,0,0,0,-15.5235791686,-4.5686014138
25,50,90,100,1,74.99,21.9212053626,23.4507042254,1,0,0,21.1985129112,0.5890447771
26,50,110,100,1,74.75,25.3653130063,25.3785211268,1,0,0,8.9212243229,-7.428019468
27,50,130,100,1,44.43,29.2002927353,29.5,0,0,0,12.1433271681,-9.2739568618
28,50,150,100,1,44.07,28.9641006173,29.0181818182,0,0,0,-2.6373238571,-10.2141705747
29,50,170,100,1,46.46,28.8132581691,29.9272727273,0,0,0,0.2868965944,12.3341131558
30,50,190,100,1,46.63,26.8141700711,28.1090909091,0,0,0,6.5389572925,0.3723283594
37,70,130,100,1,74.55,22.150109217,23.6531690141,1,0,0,23.4203289945,-2.696533662
38,70,150,100,1,44.48,27.7863474358,27.9818181818,0,0,0,3.7908335528,11.037628872
39,70,170,100,1,45.09,27.1984145549,28.4454545455,0,0,0,-5.9502813134,6.6063356395
40,70,190,100,1,46.44,26.8587640856,28.0363636364,0,0,0,14.2505318436,2.4133285387
,,,,,,,,,,,,
FIRES,X,Y,AREA,START,INITIAL_SIZE,PATCH_ID,,,,,,
1,-72,-36,10.9380693308,-126.375074713,10.9380693308,39,,,,,,
2,-71.5,-38,21.2063543475,-229.0466859087,21.2063543475,17,,,,,,
3,-73,-40,2.7139376702,-28.6271662063,2.7139376702,30,,,,,,
4,-73.5,-41,6.1706872954,-63.7149273195,6.1706872954,26,,,,,,
5,-73.2,-38,0.9181459768,-8.9621116256,0.9181459768,16,,,,,,
6,-72,-39,10.4867933052,-118.4769976164,10.4867933052,8,,,,,,
7,-73.1,-40,2.3084014995,-23.2657642744,2.3084014995,30,,,,,,
