CONFIGURATION,Early_Tankers,,Late_Tankers,
,Tankers,Helicopters,Tankers,Helicopters
1,0,0,0,0
2,0,0,0,1
3,0,0,0,2
4,0,0,1,0
5,0,0,1,1
6,0,0,1,2
7,0,0,2,0
8,0,0,2,1
9,0,0,2,2
10,0,1,0,0
11,0,1,0,1
12,0,1,0,2
13,0,1,1,0
14,0,1,1,1
15,0,1,1,2
16,0,1,2,0
17,0,1,2,1
18,0,1,2,2
19,0,2,0,0
20,0,2,0,1
21,0,2,0,2
22,0,2,1,0
23,0,2,1,1
24,0,2,1,2
25,0,2,2,0
26,0,2,2,1
27,0,2,2,2
28,1,0,0,0
29,1,0,0,1
30,1,0,0,2
31,1,0,1,0
32,1,0,1,1
33,1,0,1,2
34,1,0,2,0
35,1,0,2,1
36,1,0,2,2
37,1,1,0,0
38,1,1,0,1
39,1,1,0,2
40,1,1,1,0
41,1,1,1,1
42,1,1,1,2
43,1,1,2,0
44,1,1,2,1
45,1,1,2,2
46,1,2,0,0
47,1,2,0,1
48,1,2,0,2
49,1,2,1,0
50,1,2,1,1
51,1,2,1,2
52,1,2,2,0
53,1,2,2,1
54,1,2,2,2
55,2,0,0,0
56,2,0,0,1
57,2,0,0,2
58,2,0,1,0
59,2,0,1,1
60,2,0,1,2
61,2,0,2,0
62,2,0,2,1
63,2,0,2,2
64,2,1,0,0
65,2,1,0,1
66,2,1,0,2
67,2,1,1,0
68,2,1,1,1
69,2,1,1,2
70,2,1,2,0
71,2,1,2,1
72,2,1,2,2
73,2,2,0,0
74,2,2,0,1
75,2,2,0,2
76,2,2,1,0
77,2,2,1,1
78,2,2,1,2
79,2,2,2,0
80,2,2,2,1
81,2,2,2,2
